Data from the Virtual Biochemistry Laboratory Simulation
Protein-Ligand Binding Experiment Data

Protein,50 µg/mL Bovine Serum Albumin (BSA)
Ligand,0.1 mM Epigallocatechin Gallate (EGCG)
Data Type,Fluorescence Emission Spectrum
Fluorophore,Tryptophan
Buffer,"50 mM Sodium Phosphate buffer, pH 7.0"


Wavelength (nm), Fluorescence Intensity
300.000000,116.745003
301.000000,128.621002
302.000000,140.804001
303.000000,151.651001
304.000000,161.272003
305.000000,170.113998
306.000000,177.979004
307.000000,185.779007
308.000000,192.847000
309.000000,200.134995
310.000000,207.326004
311.000000,212.498993
312.000000,217.434998
313.000000,221.707001
314.000000,224.835999
315.000000,228.362000
316.000000,231.382004
317.000000,234.061005
318.000000,235.876007
319.000000,239.283997
320.000000,244.421005
321.000000,251.063004
322.000000,258.460999
323.000000,268.441010
324.000000,278.769012
325.000000,289.097992
326.000000,300.238007
327.000000,313.278992
328.000000,325.367004
329.000000,337.235992
330.000000,348.217987
331.000000,361.122986
332.000000,372.292999
333.000000,383.533997
334.000000,397.618988
335.000000,408.670013
336.000000,419.863007
337.000000,429.511993
338.000000,440.054993
339.000000,452.138000
340.000000,462.572998
341.000000,471.846008
342.000000,481.127991
343.000000,488.415009
344.000000,495.894989
345.000000,503.994995
346.000000,512.612976
347.000000,518.775024
348.000000,524.411011
349.000000,532.104980
350.000000,535.398987
351.000000,539.984009
352.000000,543.632019
353.000000,549.625000
354.000000,553.585999
355.000000,555.383972
356.000000,557.473022
357.000000,561.169983
358.000000,564.280029
359.000000,567.539001
360.000000,570.057983
361.000000,570.856018
362.000000,571.302979
363.000000,572.283997
364.000000,574.887024
365.000000,574.495972
366.000000,574.763977
367.000000,574.820984
368.000000,574.862000
369.000000,575.648010
370.000000,574.828003
371.000000,574.153015
372.000000,573.969971
373.000000,572.273987
374.000000,572.781006
375.000000,572.273010
376.000000,572.254028
377.000000,573.681030
378.000000,575.484009
379.000000,576.603027
380.000000,576.651978
381.000000,575.633972
382.000000,576.513977
383.000000,577.770996
384.000000,578.200012
385.000000,580.432983
386.000000,581.335022
387.000000,583.106018
388.000000,584.315002
389.000000,585.812988
390.000000,584.523987
391.000000,583.013000
392.000000,586.187988
393.000000,584.249023
394.000000,582.939026
395.000000,583.223022
396.000000,583.648010
397.000000,585.814026
398.000000,588.004028
399.000000,586.940979
400.000000,586.825012
401.000000,585.812988
402.000000,584.789001
403.000000,583.593018
404.000000,580.909973
405.000000,576.984009
406.000000,574.671997
407.000000,574.456970
408.000000,571.218018
409.000000,568.773010
410.000000,565.135986
411.000000,561.401978
412.000000,555.421997
413.000000,551.169983
414.000000,544.568970
415.000000,539.568970
416.000000,534.075012
417.000000,527.830994
418.000000,521.786987
419.000000,517.107971
420.000000,512.758972
421.000000,507.390015
422.000000,503.058990
423.000000,496.239990
424.000000,489.933014
425.000000,484.734985
426.000000,479.432007
427.000000,474.160004
428.000000,471.993011
429.000000,466.936005
430.000000,462.571014
431.000000,459.174988
432.000000,456.471008
433.000000,453.914001
434.000000,452.826996
435.000000,448.835999
436.000000,445.549011
437.000000,445.923004
438.000000,443.598999
439.000000,442.440002
440.000000,441.265015
441.000000,440.029999
442.000000,440.279999
443.000000,439.747009
444.000000,435.877014
445.000000,433.808014
446.000000,432.123993
447.000000,430.164001
448.000000,428.395996
449.000000,426.927002
450.000000,422.674011
451.000000,421.721985
452.000000,419.723999
453.000000,416.619995
454.000000,415.688995
455.000000,414.109009
456.000000,410.989014
457.000000,408.614990
458.000000,405.765015
459.000000,402.471985
460.000000,402.502014
461.000000,401.852997
462.000000,399.496002
463.000000,399.110992
464.000000,398.444000
465.000000,398.174988
466.000000,398.523987
467.000000,398.278992
468.000000,396.584015
469.000000,395.822998
470.000000,393.605988
471.000000,392.490997
472.000000,391.990997
473.000000,390.476990
474.000000,389.093994
475.000000,387.704010
476.000000,386.238007
477.000000,385.421997
478.000000,385.683990
479.000000,383.931000
480.000000,381.830994
481.000000,378.342987
482.000000,375.179993
483.000000,373.223999
484.000000,373.269012
485.000000,372.695007
486.000000,370.665009
487.000000,368.903992
488.000000,367.023987
489.000000,364.274994
490.000000,361.273987
491.000000,357.821014
492.000000,354.300995
493.000000,351.115997
494.000000,347.204010
495.000000,342.770996
496.000000,339.718994
497.000000,336.546997
498.000000,334.019012
499.000000,330.153992
500.000000,325.730988

Measurement Parameters
Excitation bandwidth,5.0 nm
Emission bandwidth,5.0 nm
Response,0.5 sec
Sensitivity,High
Measurement range,300 - 500 nm
Data interval (step size),1 nm
Excitation wavelength,280.0 nm
Scan speed,2000 nm/min
Light source,Xe lamp
