TITLE,BSA-EGCG-ex_ex_10nm_Sen_Low
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/06
TIME,17:43:41
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,   203.53804
MAXY,   510.47012
MINY,    38.15337
XYDATA
300.0000,203.538
301.0000,211.423
302.0000,220.515
303.0000,230.071
304.0000,239.689
305.0000,249.175
306.0000,258.211
307.0000,266.562
308.0000,274.498
309.0000,281.886
310.0000,288.601
311.0000,294.929
312.0000,300.819
313.0000,306.388
314.0000,311.655
315.0000,316.885
316.0000,321.961
317.0000,327.076
318.0000,332.273
319.0000,337.801
320.0000,343.76
321.0000,350.102
322.0000,356.987
323.0000,364.408
324.0000,372.126
325.0000,380.133
326.0000,388.493
327.0000,397.062
328.0000,405.969
329.0000,414.901
330.0000,423.848
331.0000,432.608
332.0000,441.061
333.0000,449.377
334.0000,457.312
335.0000,464.723
336.0000,471.728
337.0000,478.351
338.0000,484.226
339.0000,489.548
340.0000,494.316
341.0000,498.528
342.0000,502.205
343.0000,505.238
344.0000,507.514
345.0000,509.023
346.0000,510.102
347.0000,510.47
348.0000,510.222
349.0000,509.672
350.0000,508.478
351.0000,506.89
352.0000,504.682
353.0000,501.983
354.0000,498.815
355.0000,495.14
356.0000,490.873
357.0000,486.336
358.0000,481.493
359.0000,476.323
360.0000,470.806
361.0000,465.185
362.0000,459.237
363.0000,453.082
364.0000,446.669
365.0000,440.077
366.0000,433.284
367.0000,426.35
368.0000,419.174
369.0000,411.89
370.0000,404.611
371.0000,397.174
372.0000,390.011
373.0000,382.803
374.0000,375.334
375.0000,367.928
376.0000,360.682
377.0000,353.304
378.0000,346.021
379.0000,338.739
380.0000,331.534
381.0000,324.488
382.0000,317.499
383.0000,310.565
384.0000,303.769
385.0000,297.106
386.0000,290.502
387.0000,284.084
388.0000,277.746
389.0000,271.447
390.0000,265.391
391.0000,259.546
392.0000,253.66
393.0000,248.1
394.0000,242.62
395.0000,237.152
396.0000,231.935
397.0000,226.824
398.0000,221.789
399.0000,216.703
400.0000,211.707
401.0000,206.899
402.0000,202.135
403.0000,197.304
404.0000,192.568
405.0000,187.871
406.0000,183.257
407.0000,178.612
408.0000,174.11
409.0000,169.519
410.0000,165.163
411.0000,160.814
412.0000,156.55
413.0000,152.303
414.0000,148.107
415.0000,144.04
416.0000,140.108
417.0000,136.268
418.0000,132.571
419.0000,129.038
420.0000,125.578
421.0000,122.264
422.0000,119.025
423.0000,115.932
424.0000,112.952
425.0000,110.164
426.0000,107.355
427.0000,104.802
428.0000,102.266
429.0000,99.8723
430.0000,97.627
431.0000,95.5337
432.0000,93.4936
433.0000,91.5754
434.0000,89.7093
435.0000,87.9482
436.0000,86.2901
437.0000,84.6428
438.0000,83.1555
439.0000,81.7083
440.0000,80.3074
441.0000,78.9864
442.0000,77.761
443.0000,76.5616
444.0000,75.394
445.0000,74.2619
446.0000,73.1795
447.0000,72.0933
448.0000,71.0009
449.0000,69.9518
450.0000,68.9753
451.0000,67.9918
452.0000,67.0463
453.0000,66.1402
454.0000,65.1776
455.0000,64.2945
456.0000,63.433
457.0000,62.5784
458.0000,61.6847
459.0000,60.8403
460.0000,60.0637
461.0000,59.2733
462.0000,58.5542
463.0000,57.8185
464.0000,57.1636
465.0000,56.4732
466.0000,55.8083
467.0000,55.1802
468.0000,54.5693
469.0000,53.9756
470.0000,53.4562
471.0000,52.9377
472.0000,52.3994
473.0000,51.8853
474.0000,51.4033
475.0000,50.9236
476.0000,50.4892
477.0000,50.0356
478.0000,49.6033
479.0000,49.1681
480.0000,48.6915
481.0000,48.2128
482.0000,47.7811
483.0000,47.2999
484.0000,46.8075
485.0000,46.3217
486.0000,45.8194
487.0000,45.2837
488.0000,44.7554
489.0000,44.278
490.0000,43.7792
491.0000,43.2266
492.0000,42.647
493.0000,42.1103
494.0000,41.5048
495.0000,40.9437
496.0000,40.4018
497.0000,39.8496
498.0000,39.2317
499.0000,38.653
500.0000,38.1534

##### Extended Information
[Comments]
Sample name,BSA-EGCG-ex_ex_10nm_Sen_Low
Comment,BSA-EGCG-Response-0.5sec
User,Mary Peek - March 6, 2022
Division,50 mM Na Phosphate, pH 7
Company,Georgia Institute of Technology

[Detailed Information]
Creation date,3/6/2022 5:43 PM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,300 nm
End,500 nm
Data interval,1 nm
Data points,201     

[Measurement Information]
Model name,FP-8200
Serial No.,C023861448
  Ex filter holder,None
  Em filter holder,None

Accessory,SCE-845
Accessory S/N,C023861448
  Attachment,Standard Cell Block

Measurement date,3/6/2022 5:43 PM

Mode,Emission
Ex bandwidth,10 nm
Em bandwidth,10 nm
Response,0.5 sec
Sensitivity,Low
Measurement range,300 - 500 nm
Data interval,1 nm
Ex wavelength,280.0 nm
Scan speed,2000 nm/min
Auto gain,Off
Shutter control,Open only for measurement
Light source,Xe lamp
Filter,Not used
Blank correction,Off

