TITLE,BSA-EGCG-ex_ex_2.5nm_Sen_Low
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/08
TIME,12:24:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,    -2.33729
MAXY,    -1.23484
MINY,    -4.31841
XYDATA
300.0000,-2.33729
301.0000,-3.40316
302.0000,-3.34304
303.0000,-3.07547
304.0000,-3.09621
305.0000,-3.48782
306.0000,-2.76062
307.0000,-2.79201
308.0000,-1.53373
309.0000,-2.37279
310.0000,-3.17062
311.0000,-3.50261
312.0000,-3.10781
313.0000,-1.33221
314.0000,-2.20293
315.0000,-3.64762
316.0000,-2.96338
317.0000,-2.44764
318.0000,-3.38331
319.0000,-2.92659
320.0000,-2.52668
321.0000,-2.17455
322.0000,-1.75138
323.0000,-2.26732
324.0000,-2.75969
325.0000,-3.11522
326.0000,-3.48597
327.0000,-3.08586
328.0000,-3.00155
329.0000,-2.38559
330.0000,-2.71983
331.0000,-3.24103
332.0000,-3.26217
333.0000,-2.62591
334.0000,-2.4359
335.0000,-2.56664
336.0000,-3.56031
337.0000,-2.84663
338.0000,-2.48316
339.0000,-3.45428
340.0000,-3.26817
341.0000,-3.51671
342.0000,-2.4874
343.0000,-1.81537
344.0000,-3.3834
345.0000,-2.68662
346.0000,-2.28633
347.0000,-3.43634
348.0000,-3.25989
349.0000,-3.50967
350.0000,-3.87946
351.0000,-3.70237
352.0000,-2.93978
353.0000,-2.75431
354.0000,-2.47463
355.0000,-2.97009
356.0000,-3.37449
357.0000,-3.00302
358.0000,-3.3156
359.0000,-3.18753
360.0000,-2.47339
361.0000,-2.94168
362.0000,-2.99792
363.0000,-3.09097
364.0000,-2.65416
365.0000,-3.36088
366.0000,-3.62912
367.0000,-2.23833
368.0000,-2.4739
369.0000,-3.72726
370.0000,-2.44655
371.0000,-2.3604
372.0000,-2.51863
373.0000,-1.86729
374.0000,-3.51963
375.0000,-3.06908
376.0000,-2.28446
377.0000,-2.88522
378.0000,-3.19615
379.0000,-3.47302
380.0000,-2.83628
381.0000,-2.99523
382.0000,-3.82571
383.0000,-2.02756
384.0000,-2.97938
385.0000,-3.32071
386.0000,-3.70934
387.0000,-3.0569
388.0000,-2.13016
389.0000,-3.18985
390.0000,-3.55995
391.0000,-3.32688
392.0000,-3.15429
393.0000,-2.05016
394.0000,-2.48767
395.0000,-3.60679
396.0000,-2.81692
397.0000,-2.07416
398.0000,-2.84099
399.0000,-3.46814
400.0000,-2.30532
401.0000,-2.10381
402.0000,-3.18996
403.0000,-2.95069
404.0000,-2.69858
405.0000,-4.31841
406.0000,-3.3442
407.0000,-2.38229
408.0000,-3.16416
409.0000,-3.8782
410.0000,-3.16372
411.0000,-2.0884
412.0000,-3.01952
413.0000,-3.10489
414.0000,-3.1643
415.0000,-2.74795
416.0000,-3.68458
417.0000,-3.14644
418.0000,-2.99584
419.0000,-2.24052
420.0000,-1.91844
421.0000,-2.28715
422.0000,-3.2043
423.0000,-2.64082
424.0000,-3.37016
425.0000,-4.14515
426.0000,-3.23391
427.0000,-2.16345
428.0000,-1.36164
429.0000,-1.84032
430.0000,-2.5918
431.0000,-3.12042
432.0000,-3.57468
433.0000,-3.61986
434.0000,-3.2042
435.0000,-2.80905
436.0000,-2.24165
437.0000,-3.06515
438.0000,-3.34758
439.0000,-1.23484
440.0000,-2.67973
441.0000,-3.01905
442.0000,-3.9155
443.0000,-3.56275
444.0000,-2.495
445.0000,-2.9222
446.0000,-3.01803
447.0000,-2.98795
448.0000,-3.06718
449.0000,-2.30345
450.0000,-2.60257
451.0000,-2.97438
452.0000,-2.66754
453.0000,-3.12166
454.0000,-2.34644
455.0000,-2.91773
456.0000,-3.22892
457.0000,-2.21828
458.0000,-2.57729
459.0000,-3.2533
460.0000,-3.19371
461.0000,-3.12174
462.0000,-3.3456
463.0000,-2.92398
464.0000,-1.72392
465.0000,-2.86915
466.0000,-3.5143
467.0000,-3.65759
468.0000,-2.61014
469.0000,-3.15329
470.0000,-3.04967
471.0000,-3.42776
472.0000,-2.73926
473.0000,-2.24698
474.0000,-4.067
475.0000,-3.74691
476.0000,-3.48427
477.0000,-2.71586
478.0000,-3.56668
479.0000,-3.1954
