TITLE,BSA-EGCG-ex_ex_2.5nm_Sen_Low
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/08
TIME,13:02:18
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,    -3.24935
MAXY,    -2.91885
MINY,    -3.35854
XYDATA
300.0000,-3.24935
301.0000,-3.32105
302.0000,-3.25795
303.0000,-3.35854
304.0000,-3.24349
305.0000,-3.23455
306.0000,-3.18987
307.0000,-3.16967
308.0000,-3.19827
309.0000,-3.23881
310.0000,-3.20569
311.0000,-3.25036
312.0000,-3.29867
313.0000,-3.24323
314.0000,-3.27127
315.0000,-3.20944
316.0000,-3.20337
317.0000,-3.18217
318.0000,-3.27784
319.0000,-3.2219
320.0000,-3.22746
321.0000,-3.25432
322.0000,-3.22087
323.0000,-3.26218
324.0000,-3.25576
325.0000,-3.30681
326.0000,-3.25234
327.0000,-3.25052
328.0000,-3.2418
329.0000,-3.22278
330.0000,-3.1915
331.0000,-3.24359
332.0000,-3.18985
333.0000,-3.17848
334.0000,-3.16356
335.0000,-3.13825
336.0000,-3.18695
337.0000,-3.09997
338.0000,-3.15983
339.0000,-3.1495
340.0000,-3.15883
341.0000,-3.16928
342.0000,-3.07712
343.0000,-3.15104
344.0000,-3.09658
345.0000,-3.12851
346.0000,-3.12125
347.0000,-3.09445
348.0000,-3.22502
349.0000,-3.25518
350.0000,-3.18166
351.0000,-3.20716
352.0000,-3.16666
353.0000,-3.17111
354.0000,-3.16776
355.0000,-3.1904
356.0000,-3.15609
357.0000,-3.13795
358.0000,-3.204
359.0000,-3.19904
360.0000,-3.15133
361.0000,-3.19214
362.0000,-3.15293
363.0000,-3.1642
364.0000,-3.08827
365.0000,-3.06448
366.0000,-3.02727
367.0000,-2.98395
368.0000,-3.03931
369.0000,-3.01273
370.0000,-2.99494
371.0000,-2.96271
372.0000,-2.92785
373.0000,-2.99124
374.0000,-2.9656
375.0000,-2.91885
376.0000,-2.99746
377.0000,-3.04728
378.0000,-3.07336
379.0000,-3.06937
380.0000,-2.99939
381.0000,-3.06308
382.0000,-3.11283
383.0000,-3.09272
384.0000,-3.09901
385.0000,-3.10624
386.0000,-3.12252
387.0000,-3.17687
388.0000,-3.2584
389.0000,-3.2584
390.0000,-3.1964
391.0000,-3.21117
392.0000,-3.13686
393.0000,-3.17495
394.0000,-3.13829
395.0000,-3.18944
396.0000,-3.19147
397.0000,-3.16404
398.0000,-3.18133
399.0000,-3.20801
400.0000,-3.21809
401.0000,-3.16435
402.0000,-3.23099
403.0000,-3.17039
404.0000,-3.11129
405.0000,-3.09606
406.0000,-3.10487
407.0000,-3.12517
408.0000,-3.17666
409.0000,-3.10593
410.0000,-3.10145
411.0000,-3.11254
412.0000,-3.07622
413.0000,-3.2022
414.0000,-3.15549
415.0000,-3.15257
416.0000,-3.13218
417.0000,-3.18254
418.0000,-3.14092
419.0000,-3.18576
420.0000,-3.16266
421.0000,-3.20169
422.0000,-3.23375
423.0000,-3.23469
424.0000,-3.24698
425.0000,-3.20189
426.0000,-3.23724
427.0000,-3.20281
428.0000,-3.16417
429.0000,-3.06299
430.0000,-3.17723
431.0000,-3.11271
432.0000,-3.14266
433.0000,-3.09499
434.0000,-3.00687
435.0000,-3.07954
436.0000,-3.11739
437.0000,-3.05517
438.0000,-3.09715
439.0000,-3.09
440.0000,-3.08217
441.0000,-3.14535
442.0000,-3.12511
443.0000,-3.10266
444.0000,-3.19627
445.0000,-3.24247
446.0000,-3.1481
447.0000,-3.17101
448.0000,-3.19598
449.0000,-3.25555
450.0000,-3.26502
451.0000,-3.26278
452.0000,-3.29235
453.0000,-3.21852
454.0000,-3.18742
455.0000,-3.17266
456.0000,-3.1852
457.0000,-3.17935
458.0000,-3.13091
459.0000,-3.14439
460.0000,-3.05762
461.0000,-3.04696
462.0000,-3.05775
463.0000,-3.06274
464.0000,-3.0297
465.0000,-3.03343
466.0000,-3.05575
467.0000,-3.11541
468.0000,-3.08565
469.0000,-3.06646
470.0000,-3.08482
471.0000,-3.16461
472.0000,-3.11813
473.0000,-3.12931
474.0000,-3.16514
475.0000,-3.2153
476.0000,-3.29865
477.0000,-3.23593
478.0000,-3.23805
479.0000,-3.19581
