TITLE,BSA-EGCG-ex_ex_10nm_Sen_High
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/08
TIME,14:17:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,  5044.48926
MAXY, 10000.00000
MINY,  2511.07764
XYDATA
300.0000,5044.49
301.0000,3575.92
302.0000,2819.08
303.0000,2532.34
304.0000,2511.08
305.0000,2612.82
306.0000,2749.6
307.0000,2890.76
308.0000,3033.57
309.0000,3166.74
310.0000,3297.8
311.0000,3420.69
312.0000,3536.62
313.0000,3656.81
314.0000,3770.94
315.0000,3883.35
316.0000,3997.66
317.0000,4116.75
318.0000,4244.59
319.0000,4373.74
320.0000,4510.95
321.0000,4654.18
322.0000,4812.3
323.0000,4983.71
324.0000,5164.83
325.0000,5351.16
326.0000,5547.57
327.0000,5754.52
328.0000,5975.78
329.0000,6194.23
330.0000,6418.7
331.0000,6649.18
332.0000,6874.59
333.0000,7091.83
334.0000,7312.89
335.0000,7537.39
336.0000,7751.62
337.0000,7961.73
338.0000,8169.33
339.0000,8362.83
340.0000,8541.98
341.0000,8732.89
342.0000,8906.34
343.0000,9075.57
344.0000,9227.07
345.0000,9368.48
346.0000,9503.09
347.0000,9630.33
348.0000,9739.24
349.0000,9852.23
350.0000,9948.04
351.0000,10000
352.0000,10000
353.0000,10000
354.0000,10000
355.0000,10000
356.0000,10000
357.0000,10000
358.0000,10000
359.0000,10000
360.0000,10000
361.0000,10000
362.0000,10000
363.0000,10000
364.0000,10000
365.0000,10000
366.0000,10000
367.0000,10000
368.0000,10000
369.0000,10000
370.0000,10000
371.0000,10000
372.0000,10000
373.0000,10000
374.0000,10000
375.0000,10000
376.0000,10000
377.0000,10000
378.0000,10000
379.0000,10000
380.0000,10000
381.0000,10000
382.0000,10000
383.0000,10000
384.0000,10000
385.0000,10000
386.0000,10000
387.0000,10000
388.0000,10000
389.0000,10000
390.0000,10000
391.0000,10000
392.0000,10000
393.0000,10000
394.0000,10000
395.0000,10000
396.0000,10000
397.0000,10000
398.0000,10000
399.0000,10000
400.0000,10000
401.0000,10000
402.0000,10000
403.0000,10000
404.0000,10000
405.0000,10000
406.0000,10000
407.0000,10000
408.0000,10000
409.0000,10000
410.0000,10000
411.0000,10000
412.0000,10000
413.0000,10000
414.0000,10000
415.0000,9994.92
416.0000,9920.01
417.0000,9798.74
418.0000,9677.43
419.0000,9559.55
420.0000,9448.64
421.0000,9332.17
422.0000,9213.22
423.0000,9107.09
424.0000,9006.64
425.0000,8910.17
426.0000,8812.84
427.0000,8714.14
428.0000,8626.77
429.0000,8558.29
430.0000,8483.48
431.0000,8417
432.0000,8357.5
433.0000,8309.75
434.0000,8267.29
435.0000,8227.53
436.0000,8193.1
437.0000,8157.39
438.0000,8127.4
439.0000,8096.93
440.0000,8066.25
441.0000,8043.27
442.0000,8023.06
443.0000,8001.32
444.0000,7976.49
445.0000,7943.44
446.0000,7914.12
447.0000,7884.72
448.0000,7851.04
449.0000,7817.86
450.0000,7786.16
451.0000,7746.65
452.0000,7710.41
453.0000,7678.49
454.0000,7645.6
455.0000,7615.31
456.0000,7588.02
457.0000,7553.48
458.0000,7526.13
459.0000,7504.64
460.0000,7476.28
461.0000,7454.94
462.0000,7438.46
463.0000,7419.23
464.0000,7398.57
465.0000,7378.32
466.0000,7357.94
467.0000,7339.04
468.0000,7317.76
469.0000,7292.23
470.0000,7263.44
471.0000,7236.65
472.0000,7213.26
473.0000,7180.19
474.0000,7151.98
475.0000,7119.31
476.0000,7088.47
477.0000,7047.52
478.0000,7009.28
479.0000,6974.74
480.0000,6942
481.0000,6906.42
482.0000,6863.7
483.0000,6832.33
484.0000,6791.94
485.0000,6752.98
486.0000,6714.77
487.0000,6666.36
488.0000,6618.01
489.0000,6573.8
490.0000,6519.23
491.0000,6470.21
492.0000,6413.52
493.0000,6365.65
494.0000,6312.23
495.0000,6251.56
496.0000,6193.51
497.0000,6122.58
498.0000,6061.04
499.0000,5983.29
500.0000,5928.6

##### Extended Information
[Comments]
Sample name,BSA-EGCG-ex_ex_10nm_Sen_High
Comment,BSA-EGCG-Response-0.5sec-10nm-High-Sample-09
User,Dexter Dean - March 8, 2022
Division,50 mM Na Phosphate, pH 7
Company,Georgia Institute of Technology

[Detailed Information]
Creation date,3/8/2022 2:17 PM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,300 nm
End,500 nm
Data interval,1 nm
Data points,201     

[Measurement Information]
Model name,FP-8200
Serial No.,C023861448
  Ex filter holder,None
  Em filter holder,None

Accessory,SCE-845
Accessory S/N,C023861448
  Attachment,Standard Cell Block

Measurement date,3/8/2022 2:17 PM

Mode,Emission
Ex bandwidth,10 nm
Em bandwidth,10 nm
Response,0.5 sec
Sensitivity,High
Measurement range,300 - 500 nm
Data interval,1 nm
Ex wavelength,280.0 nm
Scan speed,2000 nm/min
Auto gain,Off
Shutter control,Open only for measurement
Light source,Xe lamp
Filter,Not used
Blank correction,Off

