TITLE,BSA-EGCG-ex_ex_2.5nm_Sen_Med
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,50 mM Na Phosphate, pH 7
DATE,22/03/08
TIME,14:24:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  500.0000
NPOINTS,     201
FIRSTY,    -2.92896
MAXY,    -1.88484
MINY,    -3.98287
XYDATA
300.0000,-2.92896
301.0000,-3.22311
302.0000,-3.26292
303.0000,-3.78552
304.0000,-3.48461
305.0000,-3.41494
306.0000,-3.34933
307.0000,-3.91298
308.0000,-3.73509
309.0000,-3.10945
310.0000,-3.371
311.0000,-3.73215
312.0000,-3.69674
313.0000,-3.42356
314.0000,-3.54568
315.0000,-3.38018
316.0000,-2.91467
317.0000,-2.7341
318.0000,-3.05126
319.0000,-3.18523
320.0000,-3.13005
321.0000,-2.95884
322.0000,-3.24872
323.0000,-2.96028
324.0000,-2.83931
325.0000,-3.13094
326.0000,-3.15684
327.0000,-3.31832
328.0000,-3.18817
329.0000,-3.36193
330.0000,-3.71785
331.0000,-3.8454
332.0000,-3.42868
333.0000,-3.11617
334.0000,-3.18231
335.0000,-3.20609
336.0000,-3.06426
337.0000,-2.92383
338.0000,-3.2777
339.0000,-3.47404
340.0000,-3.23224
341.0000,-2.94574
342.0000,-2.87308
343.0000,-3.01017
344.0000,-2.64239
345.0000,-2.39636
346.0000,-2.43004
347.0000,-2.90098
348.0000,-2.93716
349.0000,-2.72921
350.0000,-2.8071
351.0000,-2.65782
352.0000,-2.32661
353.0000,-2.09592
354.0000,-2.09774
355.0000,-2.53481
356.0000,-2.30493
357.0000,-1.98402
358.0000,-2.17151
359.0000,-2.47225
360.0000,-1.88484
361.0000,-2.2508
362.0000,-2.45669
363.0000,-2.40334
364.0000,-2.75837
365.0000,-2.75823
366.0000,-2.71293
367.0000,-2.80418
368.0000,-2.5917
369.0000,-2.24676
370.0000,-2.14769
371.0000,-2.34971
372.0000,-3.14858
373.0000,-3.21105
374.0000,-3.04814
375.0000,-2.75109
376.0000,-2.70777
377.0000,-2.72057
378.0000,-3.1711
379.0000,-2.89304
380.0000,-2.2494
381.0000,-2.71783
382.0000,-2.69059
383.0000,-2.65693
384.0000,-2.42563
385.0000,-2.65519
386.0000,-2.33919
387.0000,-2.60494
388.0000,-2.59596
389.0000,-2.96236
390.0000,-2.82371
391.0000,-2.96017
392.0000,-3.124
393.0000,-2.8937
394.0000,-2.68927
395.0000,-2.55711
396.0000,-2.28933
397.0000,-2.55035
398.0000,-2.66971
399.0000,-2.7093
400.0000,-3.52688
401.0000,-3.98287
402.0000,-3.28485
403.0000,-3.11131
404.0000,-3.15191
405.0000,-3.15942
406.0000,-2.5219
407.0000,-2.99161
408.0000,-2.53828
409.0000,-2.62146
410.0000,-3.07909
411.0000,-3.01835
412.0000,-2.90507
413.0000,-2.99545
414.0000,-2.56433
415.0000,-2.37383
416.0000,-2.42251
417.0000,-2.66296
418.0000,-2.74492
419.0000,-2.79025
420.0000,-2.82275
421.0000,-2.87566
422.0000,-2.9543
423.0000,-3.00675
424.0000,-2.75241
425.0000,-2.88575
426.0000,-3.43228
427.0000,-3.02286
428.0000,-2.97443
429.0000,-2.94043
430.0000,-3.04087
431.0000,-2.8674
432.0000,-2.76978
433.0000,-2.82206
434.0000,-2.83802
435.0000,-3.05952
436.0000,-2.6552
437.0000,-2.46957
438.0000,-2.87363
439.0000,-3.1006
440.0000,-2.07551
441.0000,-2.58643
442.0000,-3.26189
443.0000,-2.88671
444.0000,-2.35887
445.0000,-2.78772
446.0000,-2.95691
447.0000,-3.04479
448.0000,-3.25953
449.0000,-3.03289
450.0000,-3.15767
451.0000,-2.82055
452.0000,-2.48215
453.0000,-2.72453
454.0000,-2.72775
455.0000,-3.03122
456.0000,-3.10322
457.0000,-3.02172
458.0000,-3.21385
459.0000,-3.67184
460.0000,-3.45853
461.0000,-3.34015
462.0000,-3.38523
463.0000,-3.42515
464.0000,-3.33956
465.0000,-3.72138
466.0000,-3.19712
467.0000,-2.52963
468.0000,-2.71467
469.0000,-2.73015
470.0000,-2.8106
471.0000,-2.76302
472.0000,-2.90037
473.0000,-3.17773
474.0000,-3.19467
475.0000,-3.28376
476.0000,-2.95199
477.0000,-3.16012
478.0000,-2.96976
479.0000,-2.58924
480.0000,-2.95318
481.0000,-3.11052
482.0000,-2.34371
483.0000,-2.78366
484.0000,-2.73293
485.0000,-2.63558
486.0000,-3.29552
487.0000,-3.61547
488.0000,-2.94484
489.0000,-2.88981
490.0000,-2.9509
491.0000,-3.27527
492.0000,-3.36246
493.0000,-3.07354
494.0000,-2.6997
495.0000,-3.17131
496.0000,-2.72466
497.0000,-2.92365
498.0000,-3.53373
499.0000,-3.2854
500.0000,-3.44354

##### Extended Information
[Comments]
Sample name,BSA-EGCG-ex_ex_2.5nm_Sen_Med
Comment,BSA-EGCG-Response-0.1sec-2.5nm-Med-Sample-10
User,Dexter Dean - March 8, 2022
Division,50 mM Na Phosphate, pH 7
Company,Georgia Institute of Technology

[Detailed Information]
Creation date,3/8/2022 2:24 PM

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,300 nm
End,500 nm
Data interval,1 nm
Data points,201     

[Measurement Information]
Model name,FP-8200
Serial No.,C023861448
  Ex filter holder,None
  Em filter holder,None

Accessory,SCE-845
Accessory S/N,C023861448
  Attachment,Standard Cell Block

Measurement date,3/8/2022 2:24 PM

Mode,Emission
Ex bandwidth,2.5 nm
Em bandwidth,2.5 nm
Response,0.1 sec
Sensitivity,Medium
Measurement range,300 - 500 nm
Data interval,1 nm
Ex wavelength,280.0 nm
Scan speed,2000 nm/min
Auto gain,Off
Shutter control,Open only for measurement
Light source,Xe lamp
Filter,Not used
Blank correction,Off

